,charge_capacity,charge_energy,discharge_capacity,discharge_energy,voltage,cycle_count,capacity_rentention,capacity_rentention1
1,153.3,539.5,152.4,464.4,3.0914,1,100,100
2,152.7,536,152.9,467.5,3.0986,2,100,100.2713807
3,152.9,536.2,152.9,468.1,3.1,3,100,100.3004408
4,152.9,536,152.9,468.1,3.1005,4,100,100.2710527
5,153.8,539.9,152.6,466.5,3.0968,5,100,100.1273921
6,152.8,535.8,152.8,467.8,3.1003,6,100,100.214638
7,152.8,535.5,152.7,467.8,3.1008,7,100,100.1828228
8,152.7,535.1,152.7,467.6,3.101,8,100,100.1362479
9,152.6,534.8,152.6,467.5,3.1011,9,100,100.0862619
10,152.5,534.5,152.5,467.3,3.1013,10,100,100.0362103
11,152.5,534.3,152.4,467.1,3.1013,11,99,99.98727391
12,152.4,534,152.3,466.8,3.1013,12,99,99.93525436
13,152.3,533.7,152.3,466.6,3.1015,13,99,99.88776111
14,152.2,533.5,152.2,466.5,3.1018,14,99,99.84918924
15,152.2,533.3,152.1,466.3,3.1018,15,99,99.80655026
16,152.1,533,152.1,466.1,3.1019,16,99,99.76332091
17,152,532.8,152,465.9,3.1019,17,99,99.72350267
18,152,532.5,152,465.8,3.1021,18,99,99.68702995
19,151.9,532.3,151.9,465.7,3.1023,19,99,99.6476709
20,151.9,532.1,151.8,465.5,3.1019,20,99,99.60378555
21,151.8,531.9,151.8,465.2,3.1019,21,99,99.5604906
22,151.7,531.7,151.7,465.1,3.1019,22,99,99.52585463
23,151.7,531.5,151.7,465,3.1021,23,99,99.49587616
24,151.6,531.3,151.6,464.9,3.1021,24,99,99.46051861
25,151.6,531.1,151.6,464.7,3.1024,25,99,99.42070037
26,151.5,530.9,151.5,464.6,3.1029,26,99,99.38960672
27,151.5,530.7,151.5,464.5,3.1027,27,99,99.35497075
28,151.4,530.5,151.4,464.3,3.1027,28,99,99.31449653
29,151.4,530.3,151.3,464.1,3.1027,29,99,99.28150052
30,151.3,530.1,151.3,463.9,3.1026,30,99,99.24319105
31,151.2,529.9,151.2,463.8,3.1026,31,99,99.21170381
32,151.2,529.7,151.2,463.7,3.1027,32,99,99.18198772
33,151.1,529.6,151.1,463.5,3.1027,33,99,99.14905732
34,151.1,529.4,151.1,463.4,3.1029,34,99,99.11632371
35,151.1,529.2,151,463.3,3.1027,35,99,99.0832621
36,151,529,151,463.1,3.1026,36,99,99.0461334
37,150.9,528.9,150.9,462.9,3.1029,37,99,99.01372778
38,150.9,528.7,150.9,462.8,3.1027,38,98,98.98309332
39,150.8,528.5,150.8,462.7,3.1027,39,98,98.95272125
40,150.8,528.3,150.8,462.5,3.1027,40,98,98.92261158
41,150.7,528.2,150.8,462.4,3.1027,41,98,98.89210831
42,150.7,528,150.7,462.3,3.1032,42,98,98.85884992
43,150.7,527.9,150.7,462.1,3.1032,43,98,98.82874024
44,150.6,527.7,150.6,461.8,3.1027,44,98,98.78570768
45,150.5,527.5,150.6,461.7,3.1029,45,98,98.76045229
46,150.5,527.4,150.5,461.7,3.1031,46,98,98.73368813
47,150.5,527.2,150.5,461.5,3.1031,47,98,98.70364406
48,150.4,527.1,150.4,461.5,3.1032,48,98,98.68422693
49,150.4,526.9,150.4,461.4,3.1034,49,98,98.66008671
50,150.4,526.8,150.4,461.3,3.1035,50,98,98.63332255
51,150.3,526.6,150.3,461.1,3.1034,51,98,98.60373767
52,150.3,526.5,150.3,460.9,3.1031,52,98,98.57225043
53,150.2,526.3,150.2,460.7,3.1027,53,98,98.53223539
54,150.2,526.2,150.2,460.5,3.1026,54,98,98.50396247
55,150.3,529.1,149.8,458.3,3.097,55,98,98.26124832
56,150,525.9,150,460,3.1015,56,98,98.42898348
57,150,525.8,150.1,460.3,3.1024,57,98,98.43534653
58,150,525.7,150,460.2,3.1027,58,98,98.4157326
59,150,525.5,150,460.1,3.1027,59,98,98.38909964
60,149.9,525.3,149.9,460,3.1027,60,98,98.36463143
61,149.9,525.2,149.9,459.9,3.1027,61,98,98.33419377
62,149.9,525.1,149.9,459.7,3.1032,62,98,98.30001699
63,149.8,525,149.8,459.5,3.1029,63,98,98.26249469
64,149.7,524.8,149.8,459.3,3.1029,64,98,98.23415618
65,149.7,524.7,149.7,459.2,3.1027,65,98,98.20772002
66,149.7,524.5,149.7,459.1,3.1026,66,98,98.17839752
67,149.6,524.4,149.6,459,3.1029,67,98,98.15734043
68,149.6,524.3,149.6,458.9,3.1029,68,98,98.13903847
69,149.6,524.2,149.6,458.9,3.1031,69,98,98.11516065
70,149.5,524,149.5,458.6,3.1026,70,98,98.07540801
71,149.5,523.9,149.5,458.5,3.1027,71,98,98.05172698
72,149.4,523.8,149.4,458.4,3.1027,72,98,98.02955471
73,149.4,523.7,149.4,458.3,3.1029,73,98,98.01000638
74,149.4,523.6,149.4,458.3,3.1031,74,97,97.99504994
75,149.3,523.5,149.4,458.2,3.1031,75,97,97.9721561
76,149.3,523.3,149.3,458.2,3.1032,76,97,97.9554941
77,149.3,523.2,149.3,458,3.1031,77,97,97.93279704
78,149.2,523.1,149.3,457.9,3.1029,78,97,97.90649208
79,149.2,523,149.2,457.7,3.1029,79,97,97.87913754
80,149.2,522.9,149.2,457.6,3.1027,80,97,97.8559157
81,149.1,522.8,149.2,457.6,3.1029,81,97,97.84227123
82,149.1,522.7,149.1,457.5,3.1031,82,97,97.82639641
83,149.1,522.6,149.1,457.4,3.1029,83,97,97.80527372
84,149,522.5,149.1,457.3,3.1027,84,97,97.78356064
85,149,522.4,149,457.2,3.1029,85,97,97.76427471
86,149,522.3,149,457,3.1031,86,97,97.73783855
87,148.9,522.2,149,456.9,3.1031,87,97,97.71304234
88,148.9,522.1,148.9,456.8,3.1029,88,97,97.69067328
89,148.9,522,148.9,456.8,3.1031,89,97,97.67906236
90,148.9,521.9,148.9,456.6,3.1027,90,97,97.65715249
91,148.8,521.8,148.9,456.6,3.1029,91,97,97.64941188
92,148.8,521.7,148.8,456.6,3.1032,92,97,97.63393065
93,148.8,521.6,148.8,456.5,3.1031,93,97,97.61844942
94,148.8,521.5,148.8,456.4,3.1031,94,97,97.59726113
95,148.7,521.5,148.7,456.3,3.1029,95,97,97.57318652
96,148.7,521.4,148.7,456.2,3.1027,96,97,97.55672131
97,148.7,521.3,148.7,456.2,3.1029,97,97,97.54583197
98,148.7,521.2,148.7,456.1,3.1031,98,97,97.53382746
99,148.6,521.1,148.7,456,3.1031,99,97,97.51493512
100,148.6,521,148.6,456,3.1029,100,97,97.50155304
101,148.9,524,148.5,455,3.1,101,97,97.41588151
102,148.7,521.4,148.8,457.1,3.1058,102,97,97.63314347
103,148.8,521.4,148.9,457.5,3.107,103,97,97.66062921
104,148.8,521.4,148.9,457.5,3.1074,104,97,97.65033026
105,148.8,521.3,148.8,457.3,3.107,105,97,97.62737081
106,148.8,521.2,148.8,457.2,3.1069,106,97,97.59962268
107,148.7,521.1,148.8,457.1,3.107,107,97,97.58801176
108,148.7,521,148.8,457.2,3.1075,108,97,97.5821735
109,148.7,520.9,148.7,457.2,3.108,109,97,97.5737113
110,148.9,523.3,148.4,455.2,3.1018,110,97,97.37035621
111,148.5,520.7,148.6,456.5,3.1059,111,97,97.48043035
112,148.6,520.6,148.6,456.7,3.1069,112,97,97.48646541
113,148.6,520.5,148.6,456.6,3.1069,113,97,97.4703282
114,148.5,520.4,148.5,456.4,3.1066,114,97,97.43798818
115,148.5,520.3,148.5,456.2,3.1061,115,97,97.40545136
116,148.4,520.2,148.5,456.1,3.1062,116,97,97.38813338
117,148.4,520.1,148.4,456.1,3.1064,117,97,97.37507929
118,148.4,520,148.4,456,3.1064,118,97,97.36031965
119,148.4,519.9,148.4,455.9,3.1064,119,97,97.34234568
120,148.3,519.8,148.4,455.9,3.1064,120,97,97.32857001
121,148.3,519.7,148.3,455.8,3.1064,121,97,97.31112083
122,148.3,519.6,148.3,455.7,3.1066,122,97,97.2960332
123,148.3,519.6,148.3,455.6,3.1062,123,97,97.27379533
124,148.2,519.5,148.3,455.6,3.1066,124,97,97.26120044
125,148.2,519.4,148.3,455.6,3.1069,125,97,97.25313183
126,148.2,519.3,148.2,455.6,3.1069,126,97,97.24453844
127,148.2,519.2,148.2,455.6,3.107,127,97,97.23318991
128,148.2,519.1,148.2,455.5,3.107,128,97,97.22223498
129,148.2,519,148.2,455.5,3.107,129,97,97.20937769
130,148.1,519,148.2,455.4,3.1069,130,97,97.19081334
131,148.1,518.9,148.1,455.2,3.1072,131,97,97.1717242
132,148.1,518.9,148.1,455.2,3.1072,132,97,97.15624297
133,148.1,518.8,148.1,455,3.107,133,97,97.13794101
134,148,518.7,148.1,455,3.107,134,97,97.13046279
135,148,518.6,148,454.9,3.107,135,97,97.1136696
136,148,518.5,148,454.9,3.107,136,97,97.10297705
137,148,518.5,148,454.8,3.107,137,97,97.09084135
138,148,518.4,148,454.8,3.1069,138,97,97.07522892
139,147.9,518.4,148,454.6,3.1069,139,97,97.05764855
140,147.9,518.3,147.9,454.6,3.107,140,97,97.04918635
141,147.9,518.2,147.9,454.6,3.1072,141,97,97.04072415
142,147.9,518.2,147.9,454.6,3.1074,142,97,97.03075319
143,147.9,518.1,147.9,454.6,3.1074,143,97,97.02189741
144,147.9,518,147.9,454.6,3.1077,144,97,97.0182895
145,147.9,518,147.9,454.6,3.1077,145,97,97.01008969
146,147.8,517.9,147.9,454.4,3.1075,146,96,96.98955739
147,147.8,517.8,147.8,454.3,3.1074,147,96,96.97309218
148,147.8,517.8,147.8,454.3,3.107,148,96,96.95892293
149,147.8,517.7,147.8,454.3,3.1075,149,96,96.95144471
150,147.8,517.7,147.8,454.2,3.1074,150,96,96.94193294
151,147.7,517.6,147.8,454.2,3.1077,151,96,96.93491391
152,147.7,517.5,147.8,454.2,3.1077,152,96,96.92986283
153,147.7,517.5,147.7,454.2,3.1077,153,96,96.92074465
154,147.7,517.4,147.7,454.1,3.1075,154,96,96.90447624
155,147.7,517.4,147.7,454,3.1074,155,96,96.89155335
156,147.7,517.3,147.7,454,3.1075,156,96,96.88013923
157,147.7,517.2,147.7,453.9,3.1075,157,96,96.87003707
158,147.6,517.2,147.7,453.8,3.1074,158,96,96.85691739
159,147.6,517.1,147.6,453.8,3.1074,159,96,96.84287932
160,147.6,517.1,147.6,453.8,3.1074,160,96,96.83697547
161,147.6,517,147.6,453.7,3.1074,161,96,96.82956285
